Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis
23,gradients/encoder.roberta.encoder.layer.10.output.dense.weight,7.599501206853248e-09,6.080537560811794e-09,6.2994041571281625e-18,1.0559539411135754e-09,1.0428492042729686e-08,2.5098613820544273e-09,0.08171367620470689,-0.8179358648087858,87.00353925879776
24,gradients/encoder.roberta.encoder.layer.10.intermediate.dense.bias,7.652981185731296e-07,8.684135583314111e-07,5.103780032382133e-14,9.883175199584273e-08,9.09088518253343e-07,2.2591547163446186e-07,0.0,0.3485496439778185,26.24796549832359
25,gradients/encoder.roberta.encoder.layer.10.intermediate.dense.weight,1.463795100622122e-07,1.3047579384290618e-07,5.430884842553566e-14,1.0823201860567116e-07,9.518546056246444e-07,2.3304258929546687e-07,0.0484115782347624,-0.3454784378558552,80.04453215719688
26,gradients/encoder.roberta.encoder.layer.10.attention.output.LayerNorm.weight,3.145951142887255e-05,6.408887427802808e-05,2.27207960227062e-10,1.0359801318872439e-05,6.575548683526151e-05,1.5073418995936589e-05,0.007983027661830022,-0.050209348560406084,3.561982881061489
27,gradients/encoder.roberta.encoder.layer.10.attention.output.LayerNorm.bias,1.0898054808710405e-07,2.993431471696053e-07,5.657134589986229e-15,9.570433420193006e-08,3.31200510268977e-07,7.521392550576143e-08,0.0,-0.13757551594889186,0.1245245128865072
28,gradients/encoder.roberta.encoder.layer.10.attention.output.dense.bias,8.741086221599902e-05,7.977778338218802e-05,4.5802280632002544e-10,1.1595079939438671e-05,9.184331490240169e-05,2.140146738707478e-05,0.0,0.20862893901992852,0.6817491733148675
29,gradients/encoder.roberta.encoder.layer.10.attention.output.dense.weight,2.0054682546624227e-08,4.162420598202775e-08,2.3966577763029633e-16,8.92359429273537e-09,5.7606902868216774e-08,1.5481142646145224e-08,0.030535750926996997,-0.12265874176458832,8.276277032957092
30,gradients/encoder.roberta.encoder.layer.10.attention.self.value.bias,4.67483314207896e-08,3.4791528416621334e-08,2.0593076094432188e-16,1.0126163024056018e-08,5.754464844226833e-08,1.4350287834894528e-08,0.0,0.19965070857699663,0.3843001773602628
31,gradients/encoder.roberta.encoder.layer.10.attention.self.value.weight,1.4963771676283415e-07,1.1117425213855958e-07,8.59757827785441e-15,1.0065391950683167e-07,4.6616310694998666e-07,9.272312698488126e-08,0.06216737753801926,1.5008130033595468,199.51636752267552
32,gradients/encoder.roberta.encoder.layer.10.attention.self.key.bias,9.628068475227234e-07,1.3529424639653194e-06,1.432909064920099e-13,9.4592093140264e-07,2.1068906302367463e-06,3.7853785344666646e-07,0.0,2.2929088142516765,31.103517599830617
33,gradients/encoder.roberta.encoder.layer.10.attention.self.key.weight,2.505340209199783e-07,3.3163442509945567e-07,9.004279884676327e-15,9.595339851595708e-08,3.9670005902978454e-07,9.48908840968211e-08,0.0008987312951560574,1.0862590639097551,119.31556744812745
34,gradients/encoder.roberta.encoder.layer.10.attention.self.query.bias,2.17351594402041e-06,1.6121055647247704e-06,1.58651487738309e-13,9.762081548049098e-07,2.2683771377511502e-06,3.983107928970905e-07,0.0,0.52917594263016,2.32896900793718
35,gradients/encoder.roberta.encoder.layer.10.attention.self.query.weight,2.7410204788682997e-05,1.631340523677741e-05,6.04235531058832e-11,9.537022994337236e-06,3.775482799497346e-05,7.773258847219949e-06,0.0,1.9385601546851654,139.2301314467301
